Reference, Value, Footprint, Datasheet, Digi-Key, Bemerkungen
"U2","ESP-12E","ESP8266:ESP-12E","",",vorhanden,",""
"P3","Conn_jack_conn_board","bolay:4x2pin_50mil_header","http://sullinscorp.com/drawings/89_LPPB___2NFSP-RC,_11018.pdf",",S9007E-04-ND,",""
"U1","MC34063","SMD_Packages:SOIC-8-N","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF",",497-7852-1-ND,",""
"D3","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND,",""
"C1","470uF","Capacitors_SMD:c_elec_10x10.5","","",""
"C3","50uF","Capacitors_SMD:c_elec_6.3x7.7","",",vorhanden,100uF Kondens von reichelt",""
"R1","0.33","Resistors_SMD:R_1206_HandSoldering","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English",",A103274CT-ND,",""
"R2","18k","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-18KERCT-ND,",""
"R3","11k","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",RC1206JR-0711KL,",""
"D5","B140F","Diodes_SMD:SMA_Handsoldering","http://cdn-reichelt.de/documents/datenblatt/A400/B120-B160.pdf",",vorhanden,",""
"L1","35uH","bolay:SRN_1060_Power_Inductors","http://www.bourns.com/docs/Product-Datasheets/SRN1060.pdf",",SRN1060-470MCT-ND,",""
"C2","160pF","Capacitors_SMD:C_1206_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2015/06/03/CL31C151JBCNNNC.pdf",",1276-2811-1-ND,",""
"R4","10k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM10KZCT-ND,",""
"C4","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND,",""
"D1","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND,",""
"D2","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND,",""
"D4","RS1MTR","Diodes_SMD:SMA_Handsoldering","http://www.smc-diodes.com/propdf/RS1A-M%20N0988%20REV.A.pdf",",1655-1501-1-ND,",""
"C5","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND,",""
"R5","10k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM10KZCT-ND,",""
"R6","10k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM10KZCT-ND,",""
"R7","10k","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM10KZCT-ND,",""
"P1","CONN_01X06_Power","Connect:bornier6","http://www.on-shore.com/wp-content/uploads/2015/09/ed120ds.pdf",",ED2229-ND,",""
"P2","Conn_ftdi_serial","bolay:6x1pin_50mil_header","http://www.sullinscorp.com/drawings/86_LPPB___1NFS_-RC,_10965.pdf",",S9005E-06-ND,",""
