Reference, Value, Footprint, Datasheet, Digi-Key
"U1","PCF8574","SMD_Packages:SO-16-W","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf",",568-1076-5-ND",""
"K1","G5LE-1A4","bolay:Relais-12V-Schlieser","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1461402&DocType=Customer+Drawing&DocLang=English",",PB876-ND",""
"Q1","FDN337N","bolay:SOT-23_Handsoldering-FDN-337N","https://www.fairchildsemi.com/datasheets/FD/FDN337N.pdf",",FDN337NTR-ND",""
"R1","1K","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-1.0KERCT-ND",""
"1M1","1M","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-1.0MERCT-ND",""
"K2","G5LE-1A4","bolay:Relais-12V-Schlieser","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1461402&DocType=Customer+Drawing&DocLang=English",",PB876-ND",""
"Q2","FDN337N","bolay:SOT-23_Handsoldering-FDN-337N","https://www.fairchildsemi.com/datasheets/FD/FDN337N.pdf",",FDN337NTR-ND",""
"R2","1K","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-1.0KERCT-ND",""
"R9","1M","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-1.0MERCT-ND",""
"K4","G5LE-1A4","bolay:Relais-12V-Schlieser","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1461402&DocType=Customer+Drawing&DocLang=English",",PB876-ND",""
"Q4","FDN337N","bolay:SOT-23_Handsoldering-FDN-337N","https://www.fairchildsemi.com/datasheets/FD/FDN337N.pdf",",FDN337NTR-ND",""
"R4","1K","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-1.0KERCT-ND",""
"R11","1M","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-1.0MERCT-ND",""
"K3","G5LE-1A4","bolay:Relais-12V-Schlieser","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1461402&DocType=Customer+Drawing&DocLang=English",",PB876-ND",""
"Q3","FDN337N","bolay:SOT-23_Handsoldering-FDN-337N","https://www.fairchildsemi.com/datasheets/FD/FDN337N.pdf",",FDN337NTR-ND",""
"R3","1K","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-1.0KERCT-ND",""
"R10","1M","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf",",311-1.0MERCT-ND",""
"D1","1N4148","Diodes_SMD:SOD-123","http://www.diodes.com/_files/datasheets/ds30086.pdf",",1N4148W-FDICT-ND",""
"D2","1N4148","Diodes_SMD:SOD-123","http://www.diodes.com/_files/datasheets/ds30086.pdf",",1N4148W-FDICT-ND",""
"D3","1N4148","Diodes_SMD:SOD-123","http://www.diodes.com/_files/datasheets/ds30086.pdf",",1N4148W-FDICT-ND",""
"D4","1N4148","Diodes_SMD:SOD-123","http://www.diodes.com/_files/datasheets/ds30086.pdf",",1N4148W-FDICT-ND",""
"P1","Conn_jack_conn_board","bolay:4x2pin_50mil_header","http://sullinscorp.com/drawings/89_LPPB___2NFSP-RC,_11018.pdf",",S9007E-04-ND",""
"JP1","SJ","bolay:solder-jumper-3er","","",""
"JP2","SJ","bolay:solder-jumper-3er","","",""
"JP3","SJ","bolay:solder-jumper-3er","","",""
"P2","Conn_Licht_1","Connect:bornier6","http://www.on-shore.com/wp-content/uploads/2015/09/ed120ds.pdf",",ED2229-ND",""
"P3","Conn_Licht_2","Connect:bornier6","http://www.on-shore.com/wp-content/uploads/2015/09/ed120ds.pdf",",ED2229-ND",""
"C3","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"C1","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"C2","100nF","Capacitors_SMD:C_1206_HandSoldering","http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL31F104MBCNNNC_Spec.pdf",",1276-2854-1-ND",""
"R8","150","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM150YCT-ND",""
"R7","150","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM150YCT-ND",""
"R6","150","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM150YCT-ND",""
"R5","150","Resistors_SMD:R_1206_HandSoldering","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr.pdf",",RHM150YCT-ND",""
